naam,provincie,cbs_code,website
Gouda,Zuid-Holland,0513,https://www.gouda.nl
Groningen,Groningen,0014,https://www.groningen.nl
Gulpen-Wittem,Limburg,1729,https://www.gulpen-wittem.nl
Haaksbergen,Overijssel,0158,https://www.haaksbergen.nl
Haarlem,Noord-Holland,0392,https://www.haarlem.nl
Haarlemmermeer,Noord-Holland,0394,https://www.haarlemmermeer.nl
Halderberge,Noord-Brabant,1655,https://www.halderberge.nl
Hardenberg,Overijssel,0160,https://www.hardenberg.nl
Harderwijk,Gelderland,0243,https://www.harderwijk.nl
Hardinxveld-Giessendam,Zuid-Holland,0523,https://www.hardinxveld-giessendam.nl
Harlingen,Friesland,0072,https://www.harlingen.nl
Hattem,Gelderland,0244,https://www.hattem.nl
Heemskerk,Noord-Holland,0396,https://www.heemskerk.nl
Heemstede,Noord-Holland,0397,https://www.heemstede.nl
Heerde,Gelderland,0246,https://www.heerde.nl
Heerenveen,Friesland,0074,https://www.heerenveen.nl
Heerlen,Limburg,0917,https://www.heerlen.nl
Heeze-Leende,Noord-Brabant,1658,https://www.heeze-leende.nl
Heiloo,Noord-Holland,0399,https://www.heiloo.nl
Hellendoorn,Overijssel,0163,https://www.hellendoorn.nl
Helmond,Noord-Brabant,0794,https://www.helmond.nl
Hendrik-Ido-Ambacht,Zuid-Holland,0531,https://www.hendrik-ido-ambacht.nl
Hengelo,Overijssel,0164,https://www.hengelo.nl
's-Hertogenbosch,Noord-Brabant,0796,https://www.s-hertogenbosch.nl
Het Hogeland,Groningen,1966,https://www.hethogeland.nl
Heumen,Gelderland,0252,https://www.heumen.nl
Heusden,Noord-Brabant,0797,https://www.heusden.nl
Hillegom,Zuid-Holland,0534,https://www.hillegom.nl
Hilvarenbeek,Noord-Brabant,0798,https://www.hilvarenbeek.nl
Hilversum,Noord-Holland,0402,https://www.hilversum.nl
Hoeksche Waard,Zuid-Holland,1963,https://www.hoekschewaard.nl
Hof van Twente,Overijssel,1735,https://www.hofvantwente.nl
Hollands Kroon,Noord-Holland,1911,https://www.hollandskroon.nl
Hoogeveen,Drenthe,0118,https://www.hoogeveen.nl
Hoorn,Noord-Holland,0405,https://www.hoorn.nl
Horst aan de Maas,Limburg,1507,https://www.horstaandemaas.nl
Houten,Utrecht,0321,https://www.houten.nl
Huizen,Noord-Holland,0406,https://www.huizen.nl
Hulst,Zeeland,0677,https://www.hulst.nl
IJsselstein,Utrecht,0353,https://www.ijsselstein.nl
Kaag en Braassem,Zuid-Holland,1884,https://www.kaagenbraassem.nl
Kampen,Overijssel,0166,https://www.kampen.nl
Kapelle,Zeeland,0678,https://www.kapelle.nl
Katwijk,Zuid-Holland,0537,https://www.katwijk.nl
Kerkrade,Limburg,0928,https://www.kerkrade.nl
Koggenland,Noord-Holland,1598,https://www.koggenland.nl
Krimpen aan den IJssel,Zuid-Holland,0542,https://www.krimpenaandenijssel.nl
Krimpenerwaard,Zuid-Holland,1931,https://www.krimpenerwaard.nl
Laarbeek,Noord-Brabant,1659,https://www.laarbeek.nl
Land van Cuijk,Noord-Brabant,1982,https://www.landvancuijk.nl
Landgraaf,Limburg,0882,https://www.landgraaf.nl
Landsmeer,Noord-Holland,0415,https://www.landsmeer.nl
Lansingerland,Zuid-Holland,1621,https://www.lansingerland.nl
Laren,Noord-Holland,0417,https://www.laren.nl
Leeuwarden,Friesland,0080,https://www.leeuwarden.nl
Leiden,Zuid-Holland,0546,https://www.leiden.nl
Leiderdorp,Zuid-Holland,0547,https://www.leiderdorp.nl
Leidschendam-Voorburg,Zuid-Holland,1916,https://www.lv.nl
Lelystad,Flevoland,0995,https://www.lelystad.nl
Leudal,Limburg,1640,https://www.leudal.nl
Leusden,Utrecht,0327,https://www.leusden.nl
Lingewaard,Gelderland,1705,https://www.lingewaard.nl
Lisse,Zuid-Holland,0553,https://www.lisse.nl
Lochem,Gelderland,0262,https://www.lochem.nl
Loon op Zand,Noord-Brabant,0809,https://www.loonopzand.nl
Lopik,Utrecht,0331,https://www.lopik.nl
Losser,Overijssel,0168,https://www.losser.nl
Maasdriel,Gelderland,0263,https://www.maasdriel.nl
Maasgouw,Limburg,1641,https://www.maasgouw.nl
Maashorst,Noord-Brabant,1991,https://www.maashorst.nl
Maassluis,Zuid-Holland,0556,https://www.maassluis.nl
Maastricht,Limburg,0935,https://www.maastricht.nl
Medemblik,Noord-Holland,0420,https://www.medemblik.nl
Meerssen,Limburg,0938,https://www.meerssen.nl
Meierijstad,Noord-Brabant,1948,https://www.meierijstad.nl
Meppel,Drenthe,0119,https://www.meppel.nl
Middelburg,Zeeland,0687,https://www.middelburg.nl
Midden-Delfland,Zuid-Holland,1842,https://www.midden-delfland.nl
Midden-Drenthe,Drenthe,1731,https://www.middendrenthe.nl
Midden-Groningen,Groningen,1952,https://www.midden-groningen.nl
Moerdijk,Noord-Brabant,1709,https://www.moerdijk.nl
Molenlanden,Zuid-Holland,1978,https://www.molenlanden.nl
Montferland,Gelderland,1955,https://www.montferland.nl
Montfoort,Utrecht,0335,https://www.montfoort.nl
Mook en Middelaar,Limburg,0944,https://www.mookenmiddelaar.nl
Neder-Betuwe,Gelderland,1740,https://www.neder-betuwe.nl
