"domeinnaamregistratie";"Officiële naam organisatie";"TOOi URI organisatie";"Registratiehouder";"Registrar";"Eerste registratiedatum";"Doel";"Einde registratie"
"bedrijfscontactpunt.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"begraafplaatstongerseweg.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"belvedere-maastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"beweeginmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"burgerbegrotingmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"centreceramique.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"cultuurmakersmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"expatcentremaastrichtregion.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"geldwijzermaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"gemeentemaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"geusseltbad.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"jeugdhulpzuidlimburg.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"kumulus.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"learnmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"maastrichtbeleid.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"maastrichtforum.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"maastrichtmuseum.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"maastrichtsport.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"maastrichtportal.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"musicasacramaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"socialezaken-mh.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"thuisinmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"welcometomaastrichtregion.com";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"werkenvoormaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"zichtopmaastricht.nl";"Gemeente Maastricht";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"Onbekend";"";"";"Onbekend";""
"bezoekschijndel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"bezoekveghel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"bizzi.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"brabantwoontslim.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"cjgschijndel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"deneul.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"dorusvanoorschot.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"duurzaammeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"energiehuis-meierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"foodparkveghel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"janheesters.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"kleksi.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"kloosterkwartierveghel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"kunstcollectiemeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"landschapsparkvlagheide.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"landschapsparkvlagheideberg.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meieriistad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstadbeweegt.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.biz";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.dev";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.eu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.info";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.org";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstadherdenkt.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstadmijmert.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstadvoorondernemers.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meijerijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"mijnpim.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"museumjanheestershuis.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"museummeierijstad.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"museummeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"natuurtuinbundertje.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"optimisd.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"toekomstvisie-meierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimwerkt.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimacademy.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimactief.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimleerwerkbedrijf.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimsupport.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimvitaal.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"pimwelkom.nu";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"raadhuisschijndel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"raadmeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"schijndel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"schijndelontmoet.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"sint-oedenrode.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"skipdietrip.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"sociaalwijkteamschijndel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"sportawardsmeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"sportbedrijf.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"sportmeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"ssvfusie.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"veghel.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"veghelsbuiten.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"veghels-buiten.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"veghelsbuiten.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"visitmeierijstad.com";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"vlagheideberg.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"voedsel-var.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"werkenbijgemeentemeierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"werkeninnoordoostbrabant.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"zwembaddemolenhey.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meierijstad.nl";"Gemeente Meierijstad";"https://identifier.overheid.nl/tooi/id/gemeente/gm1948";"Onbekend";"";"";"Onbekend";""
"meppel.nl";"Gemeente Meppel";"https://identifier.overheid.nl/tooi/id/gemeente/gm0119";"Onbekend";"";"";"Onbekend";""
"actiefinnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"asd-nissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"cvdks.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"gemeentenissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nissewaardbespaart.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nissewaardwoont.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"reinis.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"spijkenissefestival.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"stembureau-nissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"theaterdestoep.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"thuisinnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"toekomstnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"vpwerkt.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"werkenvoornissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"wijdoengroen.nu";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"zorgkeuzenissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"youngnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"beleefnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"biosaandemaas.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"buurtpreventienissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"eropuitnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"herstelbudgetnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"inspijkenisse.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"kerngerichtwerken.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"kinderboerderijspijkenisse.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"leveninnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"magischheenvliet.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"mijnnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"mooiwoneninnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"mooiwoneninspijkenisse.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nikswaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nisserwaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nissewaardverbindt.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"nissewaardwerkt.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"openstadnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"pulsmusic.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"spijkenisse.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"thuishavenvaneenwereldhaven.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"thuisindewijknissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"tidwnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"vliegerfestivalspijkenisse.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"waarinnissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"woneninjeelement.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"wonennissewaard.nl";"Gemeente Nissewaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm1930";"Onbekend";"";"";"Onbekend";""
"noardeast-fryslan.nl";"Gemeente Noardeast-Fryslân";"https://identifier.overheid.nl/tooi/id/gemeente/gm1970";"Onbekend";"";"";"Onbekend";""
"ljochtbus.nl";"Gemeente Noardeast-Fryslân";"https://identifier.overheid.nl/tooi/id/gemeente/gm1970";"Onbekend";"";"";"Onbekend";""
"offalkalinder.nl";"Gemeente Noardeast-Fryslân";"https://identifier.overheid.nl/tooi/id/gemeente/gm1970";"Onbekend";"";"";"Onbekend";""
"woneninnoordoostpolder.nl";"Gemeente Noordoostpolder";"https://identifier.overheid.nl/tooi/id/gemeente/gm0171";"Onbekend";"";"";"Onbekend";""
"oostgelre.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"sameninoostgelre.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"erfgoedoostachterhoek.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"ombudsmanoostgelre.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"bouwenenwoneninoostgelre.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"lichtenvoorde.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"preventieplatformjeugd.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"vrijetijdsmakelaar.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"1627doormijnogen.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"heeloostgelrebeweegt.nl";"Gemeente Oost Gelre";"https://identifier.overheid.nl/tooi/id/gemeente/gm1586";"Onbekend";"";"";"Onbekend";""
"werkenbijoudewater.nl";"Gemeente Oudewater";"https://identifier.overheid.nl/tooi/id/gemeente/gm0589";"Onbekend";"";"";"Onbekend";""
"oudewater.nl";"Gemeente Oudewater";"https://identifier.overheid.nl/tooi/id/gemeente/gm0589";"Onbekend";"";"";"Onbekend";""
"pijnacker-nootdorp.nl";"Gemeente Pijnacker-Nootdorp";"https://identifier.overheid.nl/tooi/id/gemeente/gm1926";"Gemeente Pijnacker-Nootdorp";"KPN, Wilhelminakade 123, 3072AP Rotterdam, Netherlands";"05-06-2001";"Onbekend";""
"ridderkerk.nl";"Gemeente Ridderkerk";"https://identifier.overheid.nl/tooi/id/gemeente/gm0597";"Onbekend";"";"";"Onbekend";""
"uitagendaridderkerk.nl";"Gemeente Ridderkerk";"https://identifier.overheid.nl/tooi/id/gemeente/gm0597";"Onbekend";"";"";"Onbekend";""
"werkenvoorridderkerk.nl";"Gemeente Ridderkerk";"https://identifier.overheid.nl/tooi/id/gemeente/gm0597";"Onbekend";"";"";"Onbekend";""
"mijnroosendaal.nl";"Gemeente Roosendaal";"https://identifier.overheid.nl/tooi/id/gemeente/gm1674";"Onbekend";"";"";"Onbekend";""
"roosendaal.nl";"Gemeente Roosendaal";"https://identifier.overheid.nl/tooi/id/gemeente/gm1674";"Onbekend";"";"";"Onbekend";""
"werkenvoorroosendaal.nl";"Gemeente Roosendaal";"https://identifier.overheid.nl/tooi/id/gemeente/gm1674";"Onbekend";"";"";"Onbekend";""
"simpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Gemeente Simpelveld";"Gemeente Heerlen CBS-weg 2 6412EZ HEERLEN";"";"Hosting";""
"simpelveld.eu";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"Solido IT";"";"Reservering";""
"toeristischsimpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Gemeente Simpelveld";"The Registrar Company B.V. Jan Campertlaan 2 3201AX Spijkenisse Netherlands";"";"Hosting";""
"toeristischsimpelveld.eu";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"The Registrar Compagny";"";"Doorverwijzing";""
"durpswinkel.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Gemeente Simpelveld";"The Registrar Company B.V. Jan Campertlaan 2 3201AX Spijkenisse Netherlands";"";"Hosting";""
"depoortvanhetmergelland.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"Solido IT";"";"Reservering";""
"stoomstadjesimpelveld.com";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"The Registrar Compagny";"";"Doorverwijzing";""
"stoomstadjesimpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"The Registrar Company B.V., Jan Campertlaan 2, 3201AX Spijkenisse, Netherlands";"02-12-2011";"Doorverwijzing";""
"simpelvelddaarbeginthet.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"gemeente Simpelveld";"Solido IT voor overheden, CBS-weg 2, 6412EZ Heerlen, Netherlands";"20-08-2025";"Reservering";""
"wijsimpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Wijkconnect";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"14-12-2023";"Hosting";""
"goedverhuurderschapsimpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Stichting Huurteam Zuid-Limburg";"Metaregistrar B.V., Noothoven van Goorstraat 11 e, 2806RA Gouda, Netherlands";"31-12-2023";"Hosting";""
"impulssimpelveld.nl";"Gemeente Simpelveld";"https://identifier.overheid.nl/tooi/id/gemeente/gm0965";"Alcander";"Antagonist B.V., Capitool 10, 7521PL Enschede, Netherlands";"07-02-2024";"Hosting";""
"texel.nl";"Gemeente Texel";"https://identifier.overheid.nl/tooi/id/gemeente/gm0448";"Onbekend";"";"";"Onbekend";""
"queerguidetilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"aandebakgarantietilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"samenmetdejeugd.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"cupudo.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
