domein,url,status,score,created_at,completed_at
www.zorgaccent.nl,https://www.zorgaccent.nl/,done,2.9,2026-03-24 09:38:36.797786+00,2026-03-24 09:39:49.443816+00
amersfoort.inwoner.app,https://amersfoort.inwoner.app/,done,2.0,2026-03-24 09:28:30.759417+00,2026-03-24 09:29:19.339565+00
www.kpn.com,http://www.kpn.com/,done,1.0,2026-03-24 09:24:41.484918+00,2026-03-24 09:25:22.359872+00
interface.reisbalans.nl,https://interface.reisbalans.nl/,done,1.8,2026-03-24 09:21:08.408926+00,2026-03-24 09:21:53.977492+00
atlasplabeka.nl,https://atlasplabeka.nl/,done,2.0,2026-03-24 09:19:43.850453+00,2026-03-24 09:20:35.226045+00
moatus.nl,https://moatus.nl/,done,5.0,2026-03-24 09:18:37.085147+00,2026-03-24 09:19:25.488994+00
iburgerzaken.oosterhout.nl,https://iburgerzaken.oosterhout.nl/gaas-web/server/continue/StartGeboorte#burgerzaken,done,5.0,2026-03-24 09:18:26.305592+00,2026-03-24 09:19:12.470039+00
www.misterklic.nl,https://www.misterklic.nl/,done,5.0,2026-03-24 09:16:28.162695+00,2026-03-24 09:17:12.830551+00
www.klicconverter.nl,https://www.klicconverter.nl/,done,2.3,2026-03-24 09:11:23.63641+00,2026-03-24 09:13:12.202928+00
start.klicconverter.nl,https://start.klicconverter.nl/fmeserver,done,5.0,2026-03-24 09:09:03.596428+00,2026-03-24 09:09:51.072848+00
mijn.amsterdam.nl,https://mijn.amsterdam.nl/,done,2.0,2026-03-24 09:07:46.681054+00,2026-03-24 09:08:28.16803+00
pip.pluryn.nl,https://pip.pluryn.nl/,done,1.3,2026-03-24 09:03:14.666768+00,2026-03-24 09:04:01.397898+00
mijn.hollandskroon.nl,https://mijn.hollandskroon.nl/paspoort-aanvragen-vernieuwen/#gf_149,done,2.8,2026-03-24 09:01:47.487679+00,2026-03-24 09:02:37.528537+00
www.kvk.nl,https://www.kvk.nl/,done,2.4,2026-03-24 08:57:22.603186+00,2026-03-24 08:59:04.880538+00
eaaas.nl,https://eaaas.nl/,done,1.0,2026-03-24 08:56:03.765967+00,2026-03-24 08:56:56.386799+00
www.pluryn.nl,http://www.pluryn.nl/,done,1.5,2026-03-24 08:53:20.410456+00,2026-03-24 08:54:21.132114+00
www.assen.nl,https://www.assen.nl/,done,1.5,2026-03-24 08:27:17.245948+00,2026-03-24 08:28:04.674567+00
trefpunt.deurne.nl,https://trefpunt.deurne.nl/social/dashboard,done,2.3,2026-03-24 08:26:04.09347+00,2026-03-24 08:26:52.314778+00
deurne.djuma.nl,https://deurne.djuma.nl/,done,3.1,2026-03-24 08:23:30.510547+00,2026-03-24 08:24:16.836237+00
www.odido.nl,https://www.odido.nl/,done,1.0,2026-03-24 08:10:49.076646+00,2026-03-24 08:11:38.375468+00
edepot.divault.com,https://edepot.divault.com/login,done,4.6,2026-03-24 08:09:22.090372+00,2026-03-24 08:10:05.118235+00
www.hollandskroon.nl,http://www.hollandskroon.nl/,done,2.0,2026-03-24 08:08:46.880845+00,2026-03-24 08:09:42.905725+00
www.divault.nl,http://www.divault.nl/,done,3.7,2026-03-24 08:05:44.743137+00,2026-03-24 08:07:34.741272+00
formulier.ede.nl,https://formulier.ede.nl/melding-woon-of-leefomgeving/startpagina,done,2.0,2026-03-24 08:03:26.610147+00,2026-03-24 08:04:09.699559+00
www.personio.nl,https://www.personio.nl/,done,1.0,2026-03-24 07:53:27.130107+00,2026-03-24 07:54:10.115709+00
www.hetcak.nl,https://www.hetcak.nl/,done,1.2,2026-03-24 07:40:22.576009+00,2026-03-24 07:41:14.778726+00
www.radboudumc.nl,https://www.radboudumc.nl/patientenzorg,done,2.9,2026-03-24 07:35:22.362988+00,2026-03-24 07:36:23.974022+00
www.boom.nl,https://www.boom.nl/event/104-197_Jaarcongres-Verandermanagement-2026,done,2.2,2026-03-24 07:33:40.014053+00,2026-03-24 07:34:36.559994+00
www.timeblockr.com,https://www.timeblockr.com/,done,2.7,2026-03-24 07:30:18.608918+00,2026-03-24 07:32:16.049489+00
